true_label,true_text,pred_label,pred_text,count
325,__BLANK__,37,곳,454
325,__BLANK__,273,차내리다,223
325,__BLANK__,63,내리다,203
63,내리다,325,__BLANK__,158
325,__BLANK__,81,도착,150
311,한국농아인협회,150,서울농아인협회,143
325,__BLANK__,23,가다,136
325,__BLANK__,247,저기,129
325,__BLANK__,72,다음,118
38,곳곳,37,곳,116
273,차내리다,325,__BLANK__,104
325,__BLANK__,269,지하철,99
72,다음,37,곳,98
37,곳,38,곳곳,89
100,맞다,325,__BLANK__,82
37,곳,72,다음,80
325,__BLANK__,100,맞다,78
325,__BLANK__,131,보다,76
23,가다,325,__BLANK__,72
325,__BLANK__,126,버스,69
